Wavelength,QE,QE
nm,%,%
,C-Dose Blue QE,C-Dose Red QE
400,28.82245,1.35661
405,28.56374,1.42695
410,28.23065,1.63534
415,27.96306,1.65993
420,27.90223,1.72027
425,28.11023,2.04191
430,28.52285,2.03705
435,28.96614,2.36478
440,29.23078,2.60887
445,29.16507,3.00131
450,28.73739,3.33725
455,28.03703,3.60586
460,27.2176,3.87993
465,26.4172,4.16816
470,25.69809,4.51644
475,25.03339,4.71594
480,24.34048,5.10808
485,23.53744,5.82389
490,22.59116,6.39672
495,21.53512,6.99003
500,20.45302,7.52035
505,19.44076,8.07114
510,18.56759,8.60226
515,17.85389,9.17479
520,17.27372,9.74523
525,16.77772,10.35426
530,16.32271,10.95774
535,15.89201,11.78713
540,15.496,12.94224
545,15.15377,14.57926
550,14.86775,16.76494
555,14.60811,19.07379
560,14.31834,21.3408
565,13.94066,23.74884
570,13.4476,25.91975
575,12.86115,27.55048
580,12.24783,28.45014
585,11.69176,28.63437
590,11.25987,28.7999
595,10.97642,28.92719
600,10.81727,29.24935
605,10.72272,29.77496
610,10.61969,30.34992
615,10.44318,30.70767
620,10.15153,31.02539
625,9.73519,31.09746
630,9.2194,31.27528
635,8.65976,31.18261
640,8.12836,31.18948
645,7.69133,31.38668
650,7.38461,31.5117
655,7.19911,31.68661
660,7.08357,31.6751
665,6.96517,31.8343
670,6.77812,31.08443
675,6.48631,31.07513
680,6.09058,32.02229
685,5.62066,32.15319
690,5.11922,32.26021
695,4.62741,32.21703
700,4.1762,31.90237
705,3.78299,31.79703
710,3.45066,31.70268
715,3.16858,31.59063
720,2.9177,31.51028
725,2.68025,31.53342
730,2.45037,31.42566
735,2.23829,31.15376
740,2.06319,31.16284
745,1.9379,30.93895
750,1.85635,30.77925
755,1.79506,30.56863
760,1.72999,30.42755
765,1.65728,30.40957
770,1.59983,30.35026
775,1.59036,30.0045
780,1.58903,29.43749
785,1.57927,28.95701
790,1.53248,28.67309
795,,28.76164
800,,28.60733
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
,,--
